"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Sulf1",9.41802218777005,1.2691680747127,0.643169906195535,1.97330139747995,0.0484612338094956,0.99951024492733,"Sulf1"
"Paqr8",4.54225615830095,2.49507157566625,1.00981221394145,2.47082728968745,0.0134800904272648,0.99951024492733,"Paqr8"
"Pantr1",6.86203853137533,2.19297792188437,0.840685961230509,2.60855780043539,0.00909246546199824,0.99951024492733,"Pantr1"
"Bzw1",283.310868008318,-0.349511024216954,0.133219898046455,-2.62356471775017,0.00870149119110803,0.99951024492733,"Bzw1"
"Ppil3",26.7793654383588,-0.692429691519037,0.334677337073272,-2.06894705681084,0.0385510551220643,0.99951024492733,"Ppil3"
"Gm20342",35.5145263589802,0.729030647199022,0.298409194594631,2.44305691783178,0.0145634402371476,0.99951024492733,"Gm20342"
"Fn1",2.17269556237526,2.9980804717658,1.42390657105091,2.10553173411727,0.0352450479496467,0.99951024492733,"Fn1"
"Igfbp2",29.0407193649641,1.09997462727283,0.411121015153546,2.67554950179818,0.0074606854592975,0.99951024492733,"Igfbp2"
"Tns1",56.1112122666045,0.587694553832409,0.26602383693129,2.20918005172673,0.0271621198267932,0.99951024492733,"Tns1"
"Cul3",138.388515415478,-0.393512685066645,0.190331833803659,-2.06750850450263,0.0386862636717579,0.99951024492733,"Cul3"
"Kcnj13",14.7451157151494,1.01059310670808,0.470245015892717,2.14907776276919,0.0316282361833631,0.99951024492733,"Kcnj13"
"Kif1a",8.70551324434052,1.82464023303755,0.652953203260699,2.79444257861928,0.00519892727768643,0.99951024492733,"Kif1a"
"Ddx18",126.782659224936,-0.366357425370855,0.184502120857701,-1.98565427686011,0.0470717252473111,0.99951024492733,"Ddx18"
"Nfasc",16.4281695529903,1.26424609241574,0.503732112055817,2.50975878281045,0.0120813657145889,0.99951024492733,"Nfasc"
"A430106G13Rik",1.86694440836332,3.00583660941358,1.50636806698768,1.99541976180127,0.0459971173703866,0.99951024492733,"A430106G13Rik"
"Npl",116.068260969419,-0.385792209035171,0.173356001855717,-2.22543324087656,0.0260521681084168,0.99951024492733,"Npl"
"Tnr",8.40532697700739,1.35036628146129,0.623640521673238,2.16529592695201,0.0303650300937239,0.99951024492733,"Tnr"
"Atp1b1",24.7421030926733,1.33454901380159,0.441368727864659,3.02366010446216,0.00249736845862834,0.99951024492733,"Atp1b1"
"Atp1a2",43.2581296390845,1.60055217760237,0.330291788531048,4.84587335555851,1.26055911709155e-06,0.00778647366627452,"Atp1a2"
"Vim",11.0550122875766,1.24495365352226,0.578134182846046,2.15339914238177,0.0312873229438767,0.99951024492733,"Vim"
"Ptgds",87.908731701788,1.34029358494927,0.451450620114919,2.96885977165806,0.0029890696739375,0.99951024492733,"Ptgds"
"Bmyc",291.571271155076,-0.303184786624427,0.150759534715901,-2.01104883479353,0.0443202987526451,0.99951024492733,"Bmyc"
"Egfl7",9.59756916887237,1.31247877884887,0.587510366167103,2.23396701476339,0.0254852434958989,0.99951024492733,"Egfl7"
"Cntrl",72.6835435564007,0.638685761991665,0.219248463653464,2.91306835792084,0.00357896246155277,0.99951024492733,"Cntrl"
"Gsn",16.3884564070112,1.24753163413554,0.481955534344801,2.58847869820917,0.00964009092509555,0.99951024492733,"Gsn"
"Dab2ip",4.09587863616611,2.88479401556019,1.09719768729792,2.62923814819972,0.00855764083792301,0.99951024492733,"Dab2ip"
"Rpl35",1426.57416668826,-0.27774998237929,0.123762504802504,-2.24421752632199,0.0248184089139494,0.99951024492733,"Rpl35"
"Kif5c",7.50639078250605,2.13006411342698,0.858420362133773,2.48137649965837,0.0130876053978489,0.99951024492733,"Kif5c"
"Slc4a10",9.40692236287966,1.21803368003645,0.607956676604185,2.00348762816443,0.0451249742200831,0.99951024492733,"Slc4a10"
"Grb14",11.5625832391009,1.22846037325845,0.563987653969741,2.17816890957041,0.0293934638213321,0.99951024492733,"Grb14"
"Dync1i2",396.655314978417,-0.476370843215746,0.147510049825054,-3.22941280123434,0.00124044702754632,0.933998500122917,"Dync1i2"
"Rapgef4",10.2989697597076,1.94667249431676,0.682748762047013,2.85122815672381,0.00435507075537663,0.99951024492733,"Rapgef4"
"Ccdc141",3.88130692614811,2.21531256615354,1.044639621484,2.12064765742516,0.0339514643938395,0.99951024492733,"Ccdc141"
