"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"B3gat2",4.55590609138071,-1.61330758219848,0.808296569683689,-1.99593520832312,0.0459409757223736,NA,"B3gat2"
"Phf3",169.820013865362,-0.385045738105039,0.143334479032273,-2.68634414207025,0.00722386417639709,0.170276798443646,"Phf3"
"Dst",485.600932901357,-0.243008597484161,0.108878223776601,-2.23193021574978,0.0256195754922758,0.32832854028936,"Dst"
"Unc50",139.938100343041,0.386584165646331,0.161465880169287,2.39421582591333,0.01665594465429,0.270067755380678,"Unc50"
"Mrpl30",76.6573897415639,0.406299098744284,0.20375042250136,1.99410187108482,0.0461409228141356,NA,"Mrpl30"
"Rpl31",704.343660703498,0.357086132717656,0.121359228468328,2.94238960830941,0.00325689882519021,0.11166510257795,"Rpl31"
"Tmeff2",5.81168760497943,-1.59199530163722,0.741949905269241,-2.14569109090931,0.0318976324486334,NA,"Tmeff2"
"Hspe1",295.684365741293,0.285295284624317,0.119293075547642,2.39154941151952,0.016777425470504,0.270075629525186,"Hspe1"
"Ndufb3",175.626830743911,0.302851738411653,0.151781315703173,1.99531633395455,0.0460083895314342,0.432249638302442,"Ndufb3"
"Klf7",133.34207175573,-0.351302127000649,0.168919432164067,-2.079702272853,0.0375528495016107,0.388782441899029,"Klf7"
"Map2",8.22604311246602,-1.21209496803945,0.590267192799354,-2.05346829846847,0.0400271812669772,NA,"Map2"
"Unc80",1.63711561571369,-3.85187920834267,1.58709574593139,-2.42699863459226,0.0152243131519249,NA,"Unc80"
"Fn1",4.03893086828385,-2.48376502153849,0.973029191705712,-2.55261100356554,0.0106918833781536,NA,"Fn1"
"Rpl37a",2939.44457183677,0.403867023159979,0.10561631622253,3.82390749464357,0.000131353213996555,0.0187792182556703,"Rpl37a"
"Slc4a3",1.8134696868759,-3.67114546313529,1.50432085296156,-2.4404005674108,0.0146709841136132,NA,"Slc4a3"
"Acsl3",11.6198198532131,-1.16695935507506,0.501575137351195,-2.32658931468919,0.0199871337927892,NA,"Acsl3"
"Ptma",1130.68569690852,0.20863130905253,0.0854035569716539,2.44288781931853,0.0145702655154705,0.263049983160273,"Ptma"
"Kcnj13",18.6459521691213,-0.898297850497066,0.457679516548218,-1.96272242479182,0.0496784359843273,NA,"Kcnj13"
"Kif1a",15.1906729290509,-1.69601671269558,0.510160064471859,-3.324479571821,0.000885837229152877,NA,"Kif1a"
"Neu4",2.09545186946903,-3.67756462558239,1.43985732787742,-2.5541173798127,0.0106457361438472,NA,"Neu4"
"Srgap2",947.145053088891,-0.246035869214196,0.0874547328133742,-2.81329393275066,0.00490368046028599,0.143352657411543,"Srgap2"
"Gm29488",51.3815659932549,-0.623428624708201,0.246918428429565,-2.52483635455358,0.0115752176337409,NA,"Gm29488"
"Cntn2",3.55195288007543,-2.50339419273727,0.987345464622749,-2.53547950786787,0.011229349824781,NA,"Cntn2"
"Nfasc",15.8022966686962,-1.75429199899475,0.500209857071255,-3.50711201347807,0.000452998417918883,NA,"Nfasc"
"Prelp",7.38443970782948,-1.64885441225223,0.670003557779905,-2.46096366669425,0.0138564397688432,NA,"Prelp"
"Gpr37l1",12.6013904497436,-2.06729679407125,0.611179751602521,-3.38246937770889,0.000718372864024126,NA,"Gpr37l1"
"Shisa4",7.05451559725497,-1.77985995342021,0.710042104620693,-2.50669635200157,0.0121865350965169,NA,"Shisa4"
"Csrp1",19.0272604060493,-1.05792951424705,0.422671100484482,-2.50296155340267,0.0123158922027307,NA,"Csrp1"
"Rnf2",54.2077244762722,0.534480317751811,0.252348654133684,2.11802325471752,0.0341730982826153,NA,"Rnf2"
"Tnr",9.23992632548326,-1.85909112388019,0.625619937557516,-2.97159826961121,0.00296254048142589,NA,"Tnr"
"Gas5",421.429393811912,0.27486241354736,0.133088557439248,2.06525954474206,0.0388984491792765,0.394968868589577,"Gas5"
"Atp1b1",32.3108669226617,-1.3171881899349,0.652093745141137,-2.01993685685454,0.0433899376117415,NA,"Atp1b1"
"Mpzl1",5.54872858795855,-2.86673668570929,0.859512144714052,-3.33530678227126,0.000852053430157263,NA,"Mpzl1"
"Tmco1",315.29239515833,0.326125410901266,0.117480126657694,2.77600493104258,0.00550313738179713,0.148261308876287,"Tmco1"
"Fcer1g",3064.31515454301,0.210673951782735,0.0712116814197017,2.95841844459594,0.00309222053501423,0.108846162832501,"Fcer1g"
"Atp1a2",60.8692469875736,-1.26356794608588,0.301880735026084,-4.18565280747941,2.84347699765301e-05,NA,"Atp1a2"
"Kcnj10",10.19641099644,-1.08788986457358,0.540265771659813,-2.01361981757858,0.0440494641591369,NA,"Kcnj10"
"H3f3a",906.05421483063,0.189091146499766,0.0787772344876948,2.40032729924408,0.0163804181798954,0.270053908021996,"H3f3a"
"1700047M11Rik",5.29853954713686,-3.04150920123545,0.900176172287218,-3.3787932794393,0.000728047306823135,NA,"1700047M11Rik"
"Itih5",4.50836481089022,-2.03120825041357,0.976158044635104,-2.08081904521194,0.0374504722437255,NA,"Itih5"
"Vim",12.9700679278882,-1.17262789516645,0.472047306310089,-2.48413216110198,0.0129867600100614,NA,"Vim"
"Abi1",183.634831181903,0.316056405405568,0.143873058216812,2.19677269200243,0.0280366842987195,0.347496932153143,"Abi1"
"Hnmt",68.0188001909317,0.540272225879483,0.219207027418085,2.46466654031599,0.0137140815034447,NA,"Hnmt"
"Ptgds",111.888218800839,-0.70328479306297,0.203455004126453,-3.45670924184229,0.000546814501861499,0.0370151355106245,"Ptgds"
"Egfl7",10.0136245241374,-1.42848019604063,0.565279346719746,-2.52703411920132,0.0115030326983286,NA,"Egfl7"
"Gsn",14.0354737966144,-1.01827344000921,0.456630016141155,-2.22997482428846,0.0257491142852633,NA,"Gsn"
"Rpl35",1119.04164214402,0.323002543008174,0.115018251672699,2.80827206387491,0.00498081281170967,0.143352657411543,"Rpl35"
"Zeb2",711.996590478224,-0.25442162075965,0.0989617380665544,-2.57090897684664,0.010143198268503,0.199836144991402,"Zeb2"
"Kif5c",11.3061999990169,-1.28033516792994,0.557052908793122,-2.29840854920556,0.0215385473921034,NA,"Kif5c"
"Ermn",12.082801365863,-1.17027530588844,0.517449496160343,-2.26162227342435,0.0237207506697051,NA,"Ermn"
"Cd302",230.338142097792,0.347900880559904,0.134298423621862,2.59050606237549,0.00958349335694405,0.193132995895666,"Cd302"
"Grb14",11.7137864372272,-1.42483590194194,0.515266092326921,-2.76524289713581,0.00568804239855455,NA,"Grb14"
"Dync1i2",314.222120339917,0.243323341645189,0.113285217619371,2.14788254600644,0.0317230872759124,0.365058512175049,"Dync1i2"
"Fam171b",6.55807103337385,-1.54486600612528,0.709804286431961,-2.17646756388441,0.0295203165178605,NA,"Fam171b"
"Ube2l6",20.9762663536214,-1.2366886435563,0.490097265571587,-2.52335348599422,0.0116241488353545,NA,"Ube2l6"
"Slc1a2",140.849156747764,-1.57671554726694,0.724285709602971,-2.17692483278628,0.0294861762646361,0.3543174401791,"Slc1a2"
"Nusap1",2.56305792153658,-3.34157455184219,1.35697409900522,-2.46251903724018,0.0137964848453444,NA,"Nusap1"
"Tyro3",3.18037704541805,-2.04859852796093,1.0286210022655,-1.99159702499654,0.0464152900628474,NA,"Tyro3"
"Pdia3",854.227272422138,0.2944914613571,0.0993978101165502,2.96275603065892,0.00304898124363317,0.108774465989075,"Pdia3"
"Hypk",61.1899956417284,0.56038783339433,0.255666606009909,2.19186949027129,0.0283889316490779,NA,"Hypk"
"Eif3j1",181.852384331003,0.33151806074349,0.141979502897061,2.3349712738736,0.019544921444835,0.291517472397539,"Eif3j1"
"B2m",2533.83459586955,0.400562547872217,0.11568248217782,3.46260332879526,0.00053497645523405,0.0370151355106245,"B2m"
"Mal",36.2832955559766,-1.92190187492846,0.388127812797123,-4.95172417837794,7.35588155645786e-07,NA,"Mal"
"Prnp",16.7882226783247,-1.37438194361469,0.467276360954994,-2.94126144281256,0.00326878514900816,NA,"Prnp"
"Dstn",265.554025874846,0.315850278943872,0.118018411741065,2.67627969470437,0.00744444901976728,0.170898655758136,"Dstn"
"Smim26",56.1937114447182,0.694160256605546,0.246591157185211,2.81502493653562,0.00487734491413811,NA,"Smim26"
"Cst3",95935.7024113101,0.281225521032437,0.0835712128208941,3.36510039210686,0.000765158132769283,0.0443569612692759,"Cst3"
"Dynlrb1",167.917736859317,0.417130974412023,0.142415093192107,2.92898010360001,0.00340076190011659,0.113645714130478,"Dynlrb1"
"Romo1",171.660279407534,0.506968115904559,0.176575236290129,2.87111673503052,0.00409024446791729,0.127038181121196,"Romo1"
"Soga1",130.060276876362,-0.439720468662405,0.170034676948488,-2.58606348160157,0.0097079049099262,0.194158098198524,"Soga1"
"Nnat",17.7501296959874,-1.17137962332952,0.411133909493143,-2.84914378571601,0.00438370640166391,NA,"Nnat"
"Snhg11",15.3644400491494,-2.47306418411897,0.991084302736829,-2.49531162716404,0.0125846554511376,NA,"Snhg11"
"Matn4",3.63698530841552,-3.26328620912791,1.26540283643989,-2.5788516630079,0.0099129343967543,NA,"Matn4"
"Ube2c",4.12924357955848,-5.07252143864983,1.3017129292392,-3.89680499034032,9.74700398870067e-05,NA,"Ube2c"
"Ctsa",761.745975888215,0.209037282717335,0.0930195276388132,2.24724085386682,0.0246246385572655,0.325045228955905,"Ctsa"
"Pltp",28.062781424445,-1.03174756333486,0.36020474816956,-2.86433637695743,0.00417883986261341,NA,"Pltp"
"Ctsz",1571.15948907601,0.17137158473889,0.0788062969308506,2.17459253147323,0.0296606644998413,0.3543174401791,"Ctsz"
"Atp5e",683.44861263313,0.428022048851512,0.110266682245448,3.88169880634258,0.000103729301772658,0.0182563571119878,"Atp5e"
"Rps21",3180.28261828123,0.391320246183219,0.105203423391988,3.71965315924331,0.000199496544261929,0.0205043719005489,"Rps21"
"Zfp704",27.4380714988123,-0.721998753698863,0.340880201883991,-2.11804249618632,0.0341714688289248,NA,"Zfp704"
"Car2",48.4241097628271,-1.02291014487782,0.263457232043266,-3.8826421159311,0.000103327589845009,NA,"Car2"
"Tnik",3.19982217597733,-3.34250378936315,1.17388035612226,-2.8473973279565,0.00440783099636139,NA,"Tnik"
"Skil",297.143638921266,0.269951026380148,0.125666484821327,2.14815451203211,0.0317014829404407,0.365058512175049,"Skil"
"Cldn11",23.235947981391,-2.61976434320032,0.429974145668946,-6.09284155707672,1.10923838342731e-09,NA,"Cldn11"
"Gnb4",2.54111078213851,-2.63204614901392,1.24580779073013,-2.1127224990874,0.0346245264093316,NA,"Gnb4"
"Sox2ot",9.31904787379081,-1.97636940792478,0.605479197982313,-3.26414088958101,0.00109796552147959,NA,"Sox2ot"
"Hspa4l",12.8081105143648,-1.5135376704025,0.493288536327746,-3.0682603769184,0.00215308926891552,NA,"Hspa4l"
"Slc7a11",6.18644193568391,-1.90957429942093,0.816427527723227,-2.33893913982317,0.0193385834781239,NA,"Slc7a11"
"Ndufc1",158.161806538011,0.489213967050851,0.158597693677995,3.0846222016577,0.0020381086366369,0.0827785661649449,"Ndufc1"
"Dclk1",10.8700855013874,-1.46837012348886,0.587924760598566,-2.49754768279178,0.0125055645420781,NA,"Dclk1"
"Pfn2",14.5611857535714,-1.03067550280053,0.446066769521892,-2.31058570873872,0.0208557493807396,NA,"Pfn2"
"Mbnl1",840.404904383274,0.217089411056465,0.110510917262429,1.96441597295718,0.0494818719795381,0.449150586637788,"Mbnl1"
"Smc4",18.8578491187452,-0.849300092402182,0.396162127710801,-2.14381949458372,0.0320473526960621,NA,"Smc4"
