"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Prex2",3.41532070669838,1.78320275688386,0.86872623419419,2.05266364326838,0.0401052104311548,0.999789643489582,"Prex2"
"Tram1",318.969277960753,-0.220784896006371,0.103884256519676,-2.12529697379653,0.0335618406358177,0.999789643489582,"Tram1"
"Rims1",2.0140755553048,3.96635669570859,1.31623993061333,3.01339945967175,0.00258338625151927,0.504372744909293,"Rims1"
"Unc50",152.064642113936,-0.312947843407057,0.147301352339558,-2.12454154993535,0.0336248855120198,0.999789643489582,"Unc50"
"Pantr1",7.66942655056287,1.2950637583052,0.5551451710795,2.33283801386024,0.0196566486976582,0.999789643489582,"Pantr1"
"Ecrg4",103.349855811827,0.859426150157841,0.208245524337337,4.12698497551215,3.67550397254646e-05,0.0196165203954133,"Ecrg4"
"Igfbp2",34.5620828194502,1.15035419287424,0.265338573236275,4.33542013452333,1.45481988956742e-05,0.010940906851315,"Igfbp2"
"Igfbp5",1.9765069965631,4.04372675911408,1.33218689661864,3.03540499413249,0.00240212889683713,0.484673446319149,"Igfbp5"
"Cdk5r2",1.23840456632491,3.93217074824353,1.59456476262283,2.46598372196289,0.0136637543565957,0.999789643489582,"Cdk5r2"
"Cul3",113.877511370165,-0.534231658877288,0.187354296253773,-2.85145133877083,0.00435201469301795,0.698931133434696,"Cul3"
"Efhd1",2.46002780843475,2.39615365873218,1.16665849539196,2.05386037833389,0.0399892071187684,0.999789643489582,"Efhd1"
"Kif1a",10.6319345021086,2.34188206239381,0.534422284862782,4.38208160237014,1.17550761849273e-05,0.0097243867739811,"Kif1a"
"Epb41l5",6.44902606277004,1.71380094672175,0.61957350635793,2.76609785462918,0.00567315084333952,0.767524475039468,"Epb41l5"
"Dbi",232.454075748817,0.462918520222244,0.120265152751735,3.84914923093186,0.000118528783532388,0.0490264680885841,"Dbi"
"Ddx18",108.439642605781,-0.315888013057611,0.150886156533043,-2.09355198857116,0.036299908275274,0.999789643489582,"Ddx18"
"Prelp",5.28961250636961,1.81999012724121,0.679627211257717,2.67792415767629,0.0074079990317512,0.892882615757608,"Prelp"
"Btg2",253.564765462083,0.412172857824951,0.12461704702953,3.3075158467467,0.000941273861901373,0.247196445161242,"Btg2"
"Gpr37l1",8.14491239851943,1.22795392958638,0.602251265317308,2.0389395594535,0.0414560601031201,0.999789643489582,"Gpr37l1"
"Csrp1",14.2231861435404,1.04817627220133,0.418237356322224,2.50617563533416,0.012204497916786,0.999789643489582,"Csrp1"
"Ptprc",388.516854498014,-0.26080671658003,0.0959014532096772,-2.71952830589342,0.00653750993802985,0.824683356669338,"Ptprc"
"Rgs1",53.6412481962651,0.616936888565934,0.260881789511229,2.36481392481164,0.018039131817919,0.999789643489582,"Rgs1"
"Prdx6",48.0953948095804,0.682541718271075,0.223491825271026,3.05398963672772,0.00225819881474087,0.481328859140534,"Prdx6"
"F5",7.93471746534731,1.25052465783633,0.536280941578693,2.33184616659145,0.0197087853472723,0.999789643489582,"F5"
