"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Ly96",75.0929013551127,-0.407879835715364,0.193188599962252,-2.11130385434266,0.0347462029719248,0.761728902255866,"Ly96"
"Dst",358.844492323951,0.293622411652168,0.125995654540879,2.33041697130042,0.0197841236489711,0.601705795013201,"Dst"
"Ptpn18",540.647826425879,-0.274385583257696,0.0921222132258158,-2.97849534492951,0.00289667429606219,0.276741933377572,"Ptpn18"
"Mitd1",28.2564580474493,-0.663989449649387,0.275936856886215,-2.40630938955426,0.0161146108899494,0.556020180595403,"Mitd1"
"Pantr1",6.68860124974242,1.64132375532734,0.610157414718606,2.69000050763014,0.00714519103583884,0.396261838470496,"Pantr1"
"Tmeff2",5.11358246854755,2.28779954915275,0.763788296204118,2.99533203182437,0.00274146243216327,0.269884056896133,"Tmeff2"
"Raph1",18.7339371200163,0.955051205984159,0.370908939267874,2.57489401002118,0.0100270808120439,0.448810558079243,"Raph1"
"Klf7",116.045450487605,0.366594126816335,0.169792583416774,2.15907031649604,0.0308447121194832,0.726032157528789,"Klf7"
"Fn1",1.95429893574001,3.50803223418873,1.28785834945184,2.72392708070873,0.00645107479637337,0.393021836994463,"Fn1"
"Rpl37a",2679.66046311573,-0.382281892271764,0.125596599300558,-3.04372804996852,0.00233666263906659,0.247497927008102,"Rpl37a"
"Aamp",180.477967933615,-0.249088008757389,0.126580753632025,-1.96781897413487,0.0490888702193349,0.847096500930622,"Aamp"
"Slc11a1",124.149867376534,-0.351426469930272,0.146854015265609,-2.39303276314687,0.0167097488908794,0.567083985493755,"Slc11a1"
"Acsl3",10.2180566967287,1.34492599735723,0.509536766599917,2.63950726525934,0.00830266436082126,0.41878599584001,"Acsl3"
"Pid1",138.973584649682,0.40639716204915,0.155779502128276,2.60879741234828,0.00908610163567797,0.432753887293769,"Pid1"
"Dner",1.89382516579589,2.59861611684615,1.19793471213838,2.16924686338497,0.0300639469946676,NA,"Dner"
"Ptma",1067.48271857171,-0.220041281869763,0.0903222096881512,-2.43618134044199,0.01484324121478,0.535272034611552,"Ptma"
"Col6a3",23.5807701130278,0.96578549618532,0.416078918618096,2.3211594074339,0.020278242092802,0.60510061509991,"Col6a3"
"Ndufa10",91.8896723607516,-0.336867535257884,0.159578073447111,-2.11098885944085,0.0347732694406539,0.761728902255866,"Ndufa10"
"Cops9",190.977710067354,-0.314403890991724,0.146453490935189,-2.14678317999848,0.0318105470141613,0.736566413450102,"Cops9"
"Gm29488",44.7874473407684,0.975253747648883,0.236444735570305,4.12465832786072,3.71285513486773e-05,0.0200283917901241,"Gm29488"
"Cntn2",1.71666330209284,3.29714543094891,1.31913017235219,2.49948450884846,0.0124374136679045,NA,"Cntn2"
"Nfasc",11.4448482205033,1.44962570827719,0.577392627434018,2.51064118140796,0.0120512122230283,0.496413883201481,"Nfasc"
"Gpr37l1",8.48191771588365,1.60990762585545,0.582710433164476,2.76279183317975,0.00573093038665373,0.387827068844442,"Gpr37l1"
"Nav1",53.6421817298912,0.569010355441264,0.251516279640165,2.26232018164123,0.0236776284064111,0.661402843617906,"Nav1"
"Cacybp",117.557805941586,-0.366984771221018,0.178245209174824,-2.05887593231791,0.0395061252228406,0.785218772130201,"Cacybp"
"Gas5",379.076031087804,-0.271131614023772,0.129019635191157,-2.10147559030112,0.0355992385434624,0.76561422085309,"Gas5"
"Rcsd1",156.081738841133,0.305690108006761,0.150287608328604,2.03403401921448,0.0419481655851611,0.808759075537437,"Rcsd1"
"Creg1",547.277850117307,-0.207459673549022,0.100186847131067,-2.07072764030211,0.0383842556791423,0.778061801326212,"Creg1"
"Ildr2",9.11107929544571,1.15233509407577,0.52019298215523,2.21520692051918,0.026745865092991,0.68712770711534,"Ildr2"
"Pogk",23.6971717247187,0.66562573554848,0.337983960013406,1.96940036894673,0.0489071334248049,0.846309284484942,"Pogk"
"Tmco1",307.814144554204,-0.328489924086993,0.130266887320458,-2.52166863616617,0.0116799675929795,0.488773446691541,"Tmco1"
"Rgs5",7.63842809228785,2.78728069644449,0.707964932656737,3.93703214364705,8.2495560292818e-05,0.0345615129691328,"Rgs5"
"Rgs4",1.65113962171617,2.67277649653303,1.29030239971306,2.07143418250436,0.0383182392538205,NA,"Rgs4"
"Fcgr2b",233.668783222556,-0.317326884561934,0.115376004735841,-2.75037158106201,0.00595277193068475,0.388948644137672,"Fcgr2b"
"Fcer1g",3053.94491604487,-0.26305355652849,0.0910315969725391,-2.88969506497665,0.00385615681503112,0.300278402945814,"Fcer1g"
"Atp1a2",40.0072558371129,1.26072293193317,0.288856051983218,4.36453701861997,1.27392276227769e-05,0.013166570803941,"Atp1a2"
"H3f3a",854.336634852667,-0.18301358830293,0.0847498745663763,-2.15945556544268,0.0308148410574773,0.726032157528789,"H3f3a"
"1700047M11Rik",5.92162593611554,1.6501357679137,0.731792362515262,2.25492346249963,0.0241381333316476,0.667150319654678,"1700047M11Rik"
"Frmd4a",477.967508092875,0.1986259783952,0.0998081895269453,1.9900769599831,0.0465824584067922,0.835199591339352,"Frmd4a"
"Vim",8.136178857754,1.54533604407661,0.594442648347001,2.59963858308923,0.00933219889124438,0.436616334133981,"Vim"
"Spopl",51.5183215481582,0.437647972790637,0.20717482016707,2.11245735576219,0.0346472399462422,0.761728902255866,"Spopl"
"Nsmf",12.5534319742504,1.0532195625283,0.435501935379341,2.41840386222601,0.0155887642565044,0.547002039605551,"Nsmf"
"Npdc1",3.04500431984851,1.84353548912536,0.930179591897245,1.98191349840861,0.0474889229069011,0.836505799829083,"Npdc1"
"Ptgds",79.6024572836852,0.548492743836269,0.222209323066897,2.46836062621523,0.0135733497917504,0.515150039922355,"Ptgds"
"Card9",30.1868661789226,-0.540320875359029,0.26664396201154,-2.02637581321134,0.0427262875717251,0.808759075537437,"Card9"
"Egfl7",6.30863032366493,1.64175102410458,0.650202368430696,2.52498468756282,0.0115703330606435,0.488773446691541,"Egfl7"
