"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Trak2",29.3120711037419,0.936122103936585,0.442336369414094,2.11631276256245,0.0343182160064533,0.999933000809316,"Trak2"
"Rpl37a",4809.93545459657,-0.317391521241174,0.142889765818422,-2.2212334062084,0.0263351566620691,0.999933000809316,"Rpl37a"
"Dars",94.1656470491685,-0.518028569502035,0.22602747868359,-2.29188314854058,0.0219123869142568,0.999933000809316,"Dars"
"Snrpe",274.8267850191,-0.349784516233762,0.163826941986038,-2.13508542608073,0.0327540328607885,0.999933000809316,"Snrpe"
"Btg2",327.347186885321,0.355138152029468,0.17025270563873,2.08594718478694,0.0369834074829133,0.999933000809316,"Btg2"
"Klhl12",11.4762814991328,1.55922809721523,0.747339907290949,2.0863707156591,0.0369450555281297,0.999933000809316,"Klhl12"
"B930036N10Rik",4.32057520806263,3.49583979561049,1.67219808866137,2.09056559705136,0.0365670223982245,0.999933000809316,"B930036N10Rik"
"Atp1a2",36.3137962764989,-0.923895011786949,0.382842742921316,-2.41324937946344,0.0158109973772952,0.999933000809316,"Atp1a2"
"Tgfb2",5.65347576438271,-1.66359095147227,0.801226000344466,-2.07630674835446,0.0378655895683613,0.999933000809316,"Tgfb2"
"Olfm1",9.10012637228315,-1.88398927850876,0.70095673433625,-2.68773975086029,0.0071937439189941,0.999933000809316,"Olfm1"
"Nostrin",2.99922615493,-2.62556762620417,1.25237530256545,-2.09647029993786,0.0360404918911209,0.999933000809316,"Nostrin"
"Rapgef4",5.2280627707251,-1.97119265575982,0.981435254767568,-2.00847956722999,0.044592355195148,0.999933000809316,"Rapgef4"
"Stard9",146.213632050837,0.447376845468647,0.209754918548939,2.1328550889941,0.0329366154961192,0.999933000809316,"Stard9"
"Mal",29.2078998024595,-1.04698032231477,0.455232323518944,-2.29988133140814,0.0214549440202683,0.999933000809316,"Mal"
"Ralgapa2",18.6133683815198,1.06309253100942,0.523861696258692,2.02933816043777,0.0424238590309298,0.999933000809316,"Ralgapa2"
"Dlgap4",107.479102488428,0.470511772268913,0.232154572276108,2.02671766339075,0.0426912950144214,0.999933000809316,"Dlgap4"
"Mrps28",59.6738035061817,-0.549011632616035,0.27274674106546,-2.01289896433362,0.0441252595586706,0.999933000809316,"Mrps28"
"Fabp5",21.1676382955542,-0.906537678002494,0.458442518402172,-1.97742932126384,0.0479931223634828,0.999933000809316,"Fabp5"
"Gyg",42.2383382042574,0.745622710519558,0.360032060232653,2.07098976140552,0.0383597528790369,0.999933000809316,"Gyg"
"Cldn11",19.0807272447259,-1.44455033433402,0.526149339550796,-2.74551391733631,0.0060416204863414,0.999933000809316,"Cldn11"
"Vps45",24.0499500875528,1.16988996613187,0.512986646684137,2.28054662571404,0.0225752887556739,0.999933000809316,"Vps45"
"Sf3b4",81.0290767335984,-0.553198741574944,0.245258210297776,-2.25557685063137,0.0240971443446485,0.999933000809316,"Sf3b4"
"Tspan2",15.9006510162079,-1.70095803581406,0.561334080198558,-3.03020624582849,0.00244386790252182,0.999933000809316,"Tspan2"
"Gstm5",57.1871679816213,-0.601532883976809,0.284355532832882,-2.1154252846219,0.0343937166790125,0.999933000809316,"Gstm5"
"Aimp1",229.790756578613,-0.449549963445014,0.190993863861395,-2.35374034723573,0.0185855883829906,0.999933000809316,"Aimp1"
"Lyn",1552.77273926121,-0.382245423807341,0.123354954374731,-3.09874399244757,0.00194342871996054,0.999933000809316,"Lyn"
"Pik3r3",5.06421382742841,-2.06591591359506,0.949522921880942,-2.1757409599998,0.0295746355853519,0.999933000809316,"Pik3r3"
"Zbtb17",16.8834899181866,1.42381472913079,0.613565383924641,2.32055909025283,0.0203106522879192,0.999933000809316,"Zbtb17"
"Srm",82.5466235851597,-0.487773670744276,0.241998169931495,-2.01560892333341,0.0438408859513798,0.999933000809316,"Srm"
"AW011738",8.24812169244423,1.90614517145648,0.927146735761223,2.05592609878679,0.0397896400345523,0.999933000809316,"AW011738"
"Steap2",3.47994966118634,4.21968238196101,1.70156075403462,2.47988934391886,0.013142316133313,0.999933000809316,"Steap2"
"Slc5a6",11.3162612811964,-1.36774780181328,0.595198827336054,-2.29796790416228,0.0215636159347766,0.999933000809316,"Slc5a6"
"Sh3bp2",60.589539637462,0.661774056871233,0.30360145043878,2.17974603189413,0.0292762923583647,0.999933000809316,"Sh3bp2"
"Sparcl1",27.30387918022,-1.10752044648281,0.422276847647599,-2.62273542263218,0.00872269809438718,0.999933000809316,"Sparcl1"
"Kctd7",2.69518604100173,3.78534179404367,1.71868128008064,2.20246874037405,0.0276322148787737,0.999933000809316,"Kctd7"
"Clip2",59.518448726113,0.702161191681668,0.335032018715923,2.09580324403871,0.0360996484740333,0.999933000809316,"Clip2"
"Mrm2",18.2258287414429,1.10347048172685,0.557099305493512,1.98074287805714,0.0476201156052155,0.999933000809316,"Mrm2"
"Gm43378",33.8674662087772,1.51733095075846,0.458269206837345,3.3110035064979,0.000929620437008029,0.999933000809316,"Gm43378"
"Ptn",27.7632787043756,-1.17399327921305,0.438571015800687,-2.6768601592828,0.00743156453022283,0.999933000809316,"Ptn"
"Magi1",34.956395119964,0.850864445703102,0.421856837132529,2.0169507065161,0.0437006576984683,0.999933000809316,"Magi1"
"Plxnd1",2.28822001524885,-2.60252128495326,1.2656468494797,-2.05627761489956,0.0397557647123276,0.999933000809316,"Plxnd1"
"Hdhd5",9.9700629520385,1.68495337576247,0.828033828239173,2.03488470917372,0.0418624749087192,0.999933000809316,"Hdhd5"
"Dnaaf3",4.36394462346696,3.17164589997316,1.51975564706906,2.08694463882392,0.0368931391614601,0.999933000809316,"Dnaaf3"
"Hspbp1",30.9933464154539,-0.785246578807947,0.367309533345151,-2.13783337354893,0.0325302693089695,0.999933000809316,"Hspbp1"
"Brsk1",2.53323293873559,-3.14291104430495,1.38991705016689,-2.26122202323338,0.0237455120065217,0.999933000809316,"Brsk1"
"Rtn2",1.59979077679535,-3.35688912613217,1.70587637714414,-1.96783845014141,0.0490866285585758,0.999933000809316,"Rtn2"
"Bcl3",2.62297836488527,3.82697516483981,1.7839068677475,2.14527744358765,0.0319306708655467,0.999933000809316,"Bcl3"
"Lgi4",6.02927331241096,-1.543558374164,0.761721449055382,-2.02640791601469,0.0427230004247394,0.999933000809316,"Lgi4"
"Gm37494",148.988251205573,0.623503817921067,0.221098334709426,2.82002946218702,0.00480192404311523,0.999933000809316,"Gm37494"
"Gys1",7.31994674364776,2.19447829621786,1.02411424875902,2.14280613601173,0.032128668411607,0.999933000809316,"Gys1"
"Rccd1",7.03216706230196,2.05503104345589,1.04407747465179,1.96827447516887,0.0490364651828025,0.999933000809316,"Rccd1"
"4632427E13Rik",228.08811524106,0.352028709083225,0.179506461725405,1.96109212838104,0.049868276818516,0.999933000809316,"4632427E13Rik"
"Plekhb1",14.0953553356416,-1.23563297038916,0.54919166762377,-2.24991208576683,0.0244545265963775,0.999933000809316,"Plekhb1"
"Trim21",19.5111978961014,1.24674049583375,0.542092375040908,2.29986724262569,0.0214557424380276,0.999933000809316,"Trim21"
"Dkk3",1.24388043855276,-4.03757170376788,1.8442135747766,-2.18931893734541,0.0285736668808875,0.999933000809316,"Dkk3"
"Parva",4.09113329990736,-2.10086477015623,1.00680018698771,-2.08667499004137,0.0369175235073262,0.999933000809316,"Parva"
"Plekha7",4.22757910473773,3.33426995424993,1.51758770415084,2.19708550954267,0.0280143398031369,0.999933000809316,"Plekha7"
"Tmc7",47.3580599292405,0.890106313763654,0.399879279689797,2.22593757409523,0.0260183631287022,0.999933000809316,"Tmc7"
"Sez6l2",3.76961693837088,-1.9267591441116,0.962591971034072,-2.00163641718491,0.0453238493295937,0.999933000809316,"Sez6l2"
"Igf2",25.3834790029601,-0.866072625302322,0.436088127593163,-1.98600367793159,0.0470329155260611,0.999933000809316,"Igf2"
"Gpm6a",16.8409382982099,-1.07912537650147,0.516695599171649,-2.08851280760179,0.036751601305485,0.999933000809316,"Gpm6a"
"Cep44",24.3892240679168,1.1576025953652,0.497463174657464,2.32701163490601,0.0199646460074202,0.999933000809316,"Cep44"
"Cpe",40.0675595450388,-0.9288625881703,0.369977615852514,-2.51059131247707,0.0120529145733862,0.999933000809316,"Cpe"
