"","Genotype","Sex","group","Cell_num"
"1","Kbk","F","Kbk.1m.Un",443
"2","Kbk","F","Kbk.3m.DCF",398
"3","Kbk","F","Kbk.3m.DMSO_PEG",452
"4","Kbk","F","Kbk.3m.TCF",350
"5","Kbk","F","Kbk.3m.Un",377
"6","WT","F","WT.1m.Un",746
"7","WT","F","WT.3m.DCF",637
"8","WT","F","WT.3m.DMSO_PEG",549
"9","WT","F","WT.3m.TCF",907
"10","WT","F","WT.3m.Un",397
"11","Kbk","M","Kbk.1m.Un",560
"12","Kbk","M","Kbk.3m.DCF",509
"13","Kbk","M","Kbk.3m.DMSO_PEG",739
"14","Kbk","M","Kbk.3m.TCF",1000
"15","Kbk","M","Kbk.3m.Un",605
"16","WT","M","WT.1m.Un",744
"17","WT","M","WT.3m.DCF",582
"18","WT","M","WT.3m.DMSO_PEG",595
"19","WT","M","WT.3m.TCF",983
"20","WT","M","WT.3m.Un",643
