"","group","pseudotime_bin_num","features","value","Geno","new_group"
"1","Kbk.1m.Un",1,"homeostatic3",2.81853100936179,"Kbk","Kbk.1m
(Un)"
"2","Kbk.1m.Un",1,"stage1_DAM1",1.67524149723909,"Kbk","Kbk.1m
(Un)"
"3","Kbk.1m.Un",1,"stage2_DAM2",0.488030008954377,"Kbk","Kbk.1m
(Un)"
"4","Kbk.1m.Un",2,"homeostatic3",2.94650783567044,"Kbk","Kbk.1m
(Un)"
"5","Kbk.1m.Un",2,"stage1_DAM1",1.5072093243162,"Kbk","Kbk.1m
(Un)"
"6","Kbk.1m.Un",2,"stage2_DAM2",0.484845576755291,"Kbk","Kbk.1m
(Un)"
"7","Kbk.1m.Un",3,"homeostatic3",2.94046442496109,"Kbk","Kbk.1m
(Un)"
"8","Kbk.1m.Un",3,"stage1_DAM1",1.59339480860461,"Kbk","Kbk.1m
(Un)"
"9","Kbk.1m.Un",3,"stage2_DAM2",0.492473198288965,"Kbk","Kbk.1m
(Un)"
"10","Kbk.1m.Un",4,"homeostatic3",2.92335961457605,"Kbk","Kbk.1m
(Un)"
"11","Kbk.1m.Un",4,"stage1_DAM1",1.57028918217689,"Kbk","Kbk.1m
(Un)"
"12","Kbk.1m.Un",4,"stage2_DAM2",0.442567354425297,"Kbk","Kbk.1m
(Un)"
"13","Kbk.1m.Un",6,"homeostatic3",3.06890763386757,"Kbk","Kbk.1m
(Un)"
"14","Kbk.1m.Un",6,"stage1_DAM1",1.6772420003484,"Kbk","Kbk.1m
(Un)"
"15","Kbk.1m.Un",6,"stage2_DAM2",0.644651799371462,"Kbk","Kbk.1m
(Un)"
"16","Kbk.1m.Un",7,"homeostatic3",2.95461165850527,"Kbk","Kbk.1m
(Un)"
"17","Kbk.1m.Un",7,"stage1_DAM1",1.67336921269941,"Kbk","Kbk.1m
(Un)"
"18","Kbk.1m.Un",7,"stage2_DAM2",0.49322075996666,"Kbk","Kbk.1m
(Un)"
"19","Kbk.1m.Un",8,"homeostatic3",2.90999560240741,"Kbk","Kbk.1m
(Un)"
"20","Kbk.1m.Un",8,"stage1_DAM1",1.99688694442451,"Kbk","Kbk.1m
(Un)"
"21","Kbk.1m.Un",8,"stage2_DAM2",0.487194197066134,"Kbk","Kbk.1m
(Un)"
"22","Kbk.1m.Un",9,"homeostatic3",2.87192093329151,"Kbk","Kbk.1m
(Un)"
"23","Kbk.1m.Un",9,"stage1_DAM1",1.49574658672807,"Kbk","Kbk.1m
(Un)"
"24","Kbk.1m.Un",9,"stage2_DAM2",0.407594428946808,"Kbk","Kbk.1m
(Un)"
"25","Kbk.1m.Un",10,"homeostatic3",2.83910639225284,"Kbk","Kbk.1m
(Un)"
"26","Kbk.1m.Un",10,"stage1_DAM1",1.40491227762619,"Kbk","Kbk.1m
(Un)"
"27","Kbk.1m.Un",10,"stage2_DAM2",0.356195358824322,"Kbk","Kbk.1m
(Un)"
"28","Kbk.1m.Un",11,"homeostatic3",2.88551630449335,"Kbk","Kbk.1m
(Un)"
"29","Kbk.1m.Un",11,"stage1_DAM1",1.40906481529899,"Kbk","Kbk.1m
(Un)"
"30","Kbk.1m.Un",11,"stage2_DAM2",0.396183893974437,"Kbk","Kbk.1m
(Un)"
"31","Kbk.1m.Un",12,"homeostatic3",2.83467855501613,"Kbk","Kbk.1m
(Un)"
"32","Kbk.1m.Un",12,"stage1_DAM1",1.41325948086012,"Kbk","Kbk.1m
(Un)"
"33","Kbk.1m.Un",12,"stage2_DAM2",0.423142793336912,"Kbk","Kbk.1m
(Un)"
"34","Kbk.1m.Un",13,"homeostatic3",2.85569222106449,"Kbk","Kbk.1m
(Un)"
"35","Kbk.1m.Un",13,"stage1_DAM1",1.43421399945991,"Kbk","Kbk.1m
(Un)"
"36","Kbk.1m.Un",13,"stage2_DAM2",0.40318082548149,"Kbk","Kbk.1m
(Un)"
"37","Kbk.1m.Un",14,"homeostatic3",2.82528725563907,"Kbk","Kbk.1m
(Un)"
"38","Kbk.1m.Un",14,"stage1_DAM1",1.46936448425811,"Kbk","Kbk.1m
(Un)"
"39","Kbk.1m.Un",14,"stage2_DAM2",0.421901609902055,"Kbk","Kbk.1m
(Un)"
"40","Kbk.1m.Un",15,"homeostatic3",2.85681367048974,"Kbk","Kbk.1m
(Un)"
"41","Kbk.1m.Un",15,"stage1_DAM1",1.58668138645343,"Kbk","Kbk.1m
(Un)"
"42","Kbk.1m.Un",15,"stage2_DAM2",0.447231422096996,"Kbk","Kbk.1m
(Un)"
"43","Kbk.1m.Un",16,"homeostatic3",2.85608603860244,"Kbk","Kbk.1m
(Un)"
"44","Kbk.1m.Un",16,"stage1_DAM1",1.59346212215327,"Kbk","Kbk.1m
(Un)"
"45","Kbk.1m.Un",16,"stage2_DAM2",0.450330504636421,"Kbk","Kbk.1m
(Un)"
"46","Kbk.1m.Un",17,"homeostatic3",2.84719930826133,"Kbk","Kbk.1m
(Un)"
"47","Kbk.1m.Un",17,"stage1_DAM1",1.45155812108333,"Kbk","Kbk.1m
(Un)"
"48","Kbk.1m.Un",17,"stage2_DAM2",0.44865293589075,"Kbk","Kbk.1m
(Un)"
"49","Kbk.1m.Un",18,"homeostatic3",2.8274853541572,"Kbk","Kbk.1m
(Un)"
"50","Kbk.1m.Un",18,"stage1_DAM1",1.52458071715514,"Kbk","Kbk.1m
(Un)"
"51","Kbk.1m.Un",18,"stage2_DAM2",0.468304193509685,"Kbk","Kbk.1m
(Un)"
"52","Kbk.1m.Un",19,"homeostatic3",2.88273218300103,"Kbk","Kbk.1m
(Un)"
"53","Kbk.1m.Un",19,"stage1_DAM1",1.40748848277463,"Kbk","Kbk.1m
(Un)"
"54","Kbk.1m.Un",19,"stage2_DAM2",0.442356373540456,"Kbk","Kbk.1m
(Un)"
"55","Kbk.1m.Un",20,"homeostatic3",2.86781499660073,"Kbk","Kbk.1m
(Un)"
"56","Kbk.1m.Un",20,"stage1_DAM1",1.43150697288302,"Kbk","Kbk.1m
(Un)"
"57","Kbk.1m.Un",20,"stage2_DAM2",0.430740777054515,"Kbk","Kbk.1m
(Un)"
