"","group","Cellproportion","bin_num","bin","Geno","new_group"
"1","Kbk.1m.Un",0.0814249363867685,1,"(-0.0139,0.555]","Kbk","Kbk.1m
(Un)"
"2","Kbk.3m.DCF",0.0661577608142494,1,"(-0.0139,0.555]","Kbk","Kbk.3m
(HPBCD)"
"3","Kbk.3m.DMSO_PEG",0.0508905852417303,1,"(-0.0139,0.555]","Kbk","Kbk.3m
(PEG)"
"4","Kbk.3m.TCF",0.142493638676845,1,"(-0.0139,0.555]","Kbk","Kbk.3m
(TCF)"
"5","Kbk.3m.Un",0.0788804071246819,1,"(-0.0139,0.555]","Kbk","Kbk.3m
(Un)"
"6","WT.1m.Un",0.399491094147583,1,"(-0.0139,0.555]","WT","WT.1m
(Un)"
"7","WT.3m.DCF",0.0330788804071247,1,"(-0.0139,0.555]","WT","WT.3m
(HPBCD)"
"8","WT.3m.DMSO_PEG",0.0152671755725191,1,"(-0.0139,0.555]","WT","WT.3m
(PEG)"
"9","WT.3m.TCF",0.0534351145038168,1,"(-0.0139,0.555]","WT","WT.3m
(TCF)"
"10","WT.3m.Un",0.0788804071246819,1,"(-0.0139,0.555]","WT","WT.3m
(Un)"
"11","Kbk.1m.Un",0.132394366197183,2,"(0.555,1.11]","Kbk","Kbk.1m
(Un)"
"12","Kbk.3m.DCF",0.0676056338028169,2,"(0.555,1.11]","Kbk","Kbk.3m
(HPBCD)"
"13","Kbk.3m.DMSO_PEG",0.12112676056338,2,"(0.555,1.11]","Kbk","Kbk.3m
(PEG)"
"14","Kbk.3m.TCF",0.219718309859155,2,"(0.555,1.11]","Kbk","Kbk.3m
(TCF)"
"15","Kbk.3m.Un",0.104225352112676,2,"(0.555,1.11]","Kbk","Kbk.3m
(Un)"
"16","WT.1m.Un",0.0845070422535211,2,"(0.555,1.11]","WT","WT.1m
(Un)"
"17","WT.3m.DCF",0.0309859154929577,2,"(0.555,1.11]","WT","WT.3m
(HPBCD)"
"18","WT.3m.DMSO_PEG",0.0338028169014084,2,"(0.555,1.11]","WT","WT.3m
(PEG)"
"19","WT.3m.TCF",0.0507042253521127,2,"(0.555,1.11]","WT","WT.3m
(TCF)"
