"","group","unique_name","sample","cell_number"
"Kbk_3m_DCF_F_1","Kbk.3m.DCF","Kbk_3m_DCF_F_1","Batch2",121
"Kbk_3m_DCF_F_2","Kbk.3m.DCF","Kbk_3m_DCF_F_2","Batch3",121
"Kbk_3m_DCF_F_3","Kbk.3m.DCF","Kbk_3m_DCF_F_3","Batch7",156
"Kbk_3m_DCF_M_1","Kbk.3m.DCF","Kbk_3m_DCF_M_1","Batch2",260
"Kbk_3m_DCF_M_2","Kbk.3m.DCF","Kbk_3m_DCF_M_2","Batch3",81
"Kbk_3m_DCF_M_3","Kbk.3m.DCF","Kbk_3m_DCF_M_3","Batch6",168
"Kbk_3m_DMSO_PEG_F_1","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_F_1","Batch3",80
"Kbk_3m_DMSO_PEG_F_2","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_F_2","Batch5",196
"Kbk_3m_DMSO_PEG_F_3","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_F_3","Batch7",176
"Kbk_3m_DMSO_PEG_M_1","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_M_1","Batch2",305
"Kbk_3m_DMSO_PEG_M_2","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_M_2","Batch5",73
"Kbk_3m_DMSO_PEG_M_3","Kbk.3m.DMSO_PEG","Kbk_3m_DMSO_PEG_M_3","Batch6",361
