"","group","unique_name","sample","cell_number"
"Kbk_3m_DCF_F_1","Kbk.3m.DCF","Kbk_3m_DCF_F_1","Batch2",121
"Kbk_3m_DCF_F_2","Kbk.3m.DCF","Kbk_3m_DCF_F_2","Batch3",121
"Kbk_3m_DCF_F_3","Kbk.3m.DCF","Kbk_3m_DCF_F_3","Batch7",156
"Kbk_3m_DCF_M_1","Kbk.3m.DCF","Kbk_3m_DCF_M_1","Batch2",260
"Kbk_3m_DCF_M_2","Kbk.3m.DCF","Kbk_3m_DCF_M_2","Batch3",81
"Kbk_3m_DCF_M_3","Kbk.3m.DCF","Kbk_3m_DCF_M_3","Batch6",168
"Kbk_3m_TCF_F_1","Kbk.3m.TCF","Kbk_3m_TCF_F_1","Batch1",111
"Kbk_3m_TCF_F_2","Kbk.3m.TCF","Kbk_3m_TCF_F_2","Batch2",181
"Kbk_3m_TCF_F_3","Kbk.3m.TCF","Kbk_3m_TCF_F_3","Batch2",58
"Kbk_3m_TCF_M_1","Kbk.3m.TCF","Kbk_3m_TCF_M_1","Batch1",382
"Kbk_3m_TCF_M_2","Kbk.3m.TCF","Kbk_3m_TCF_M_2","Batch2",352
"Kbk_3m_TCF_M_3","Kbk.3m.TCF","Kbk_3m_TCF_M_3","Batch3",266
