"","group","unique_name","sample","cell_number"
"Kbk_1m_Un_F_1","Kbk.1m.Un","Kbk_1m_Un_F_1","Batch1",204
"Kbk_1m_Un_F_2","Kbk.1m.Un","Kbk_1m_Un_F_2","Batch5",117
"Kbk_1m_Un_F_3","Kbk.1m.Un","Kbk_1m_Un_F_3","Batch7",122
"Kbk_1m_Un_M_1","Kbk.1m.Un","Kbk_1m_Un_M_1","Batch2",332
"Kbk_1m_Un_M_2","Kbk.1m.Un","Kbk_1m_Un_M_2","Batch5",99
"Kbk_1m_Un_M_3","Kbk.1m.Un","Kbk_1m_Un_M_3","Batch7",129
"WT_1m_Un_F_1","WT.1m.Un","WT_1m_Un_F_1","Batch4",244
"WT_1m_Un_F_2","WT.1m.Un","WT_1m_Un_F_2","Batch5",195
"WT_1m_Un_F_3","WT.1m.Un","WT_1m_Un_F_3","Batch6",307
"WT_1m_Un_M_1","WT.1m.Un","WT_1m_Un_M_1","Batch1",385
"WT_1m_Un_M_2","WT.1m.Un","WT_1m_Un_M_2","Batch2",70
"WT_1m_Un_M_3","WT.1m.Un","WT_1m_Un_M_3","Batch7",289
