"","group","unique_name","sample","cell_number"
"Kbk_3m_Un_F_1","Kbk.3m.Un","Kbk_3m_Un_F_1","Batch1",138
"Kbk_3m_Un_F_2","Kbk.3m.Un","Kbk_3m_Un_F_2","Batch3",96
"Kbk_3m_Un_F_3","Kbk.3m.Un","Kbk_3m_Un_F_3","Batch7",143
"Kbk_3m_Un_M_1","Kbk.3m.Un","Kbk_3m_Un_M_1","Batch1",278
"Kbk_3m_Un_M_2","Kbk.3m.Un","Kbk_3m_Un_M_2","Batch3",251
"Kbk_3m_Un_M_3","Kbk.3m.Un","Kbk_3m_Un_M_3","Batch6",76
"WT_3m_Un_F_1","WT.3m.Un","WT_3m_Un_F_1","Batch1",118
"WT_3m_Un_F_2","WT.3m.Un","WT_3m_Un_F_2","Batch3",62
"WT_3m_Un_F_3","WT.3m.Un","WT_3m_Un_F_3","Batch7",217
"WT_3m_Un_M_1","WT.3m.Un","WT_3m_Un_M_1","Batch1",328
"WT_3m_Un_M_2","WT.3m.Un","WT_3m_Un_M_2","Batch3",61
"WT_3m_Un_M_3","WT.3m.Un","WT_3m_Un_M_3","Batch4",254
