"","group","unique_name","sample","cell_number"
"WT_3m_DCF_F_1","WT.3m.DCF","WT_3m_DCF_F_1","Batch4",265
"WT_3m_DCF_F_2","WT.3m.DCF","WT_3m_DCF_F_2","Batch5",225
"WT_3m_DCF_F_3","WT.3m.DCF","WT_3m_DCF_F_3","Batch8",147
"WT_3m_DCF_M_1","WT.3m.DCF","WT_3m_DCF_M_1","Batch5",120
"WT_3m_DCF_M_2","WT.3m.DCF","WT_3m_DCF_M_2","Batch6",305
"WT_3m_DCF_M_3","WT.3m.DCF","WT_3m_DCF_M_3","Batch8",157
"WT_3m_TCF_F_1","WT.3m.TCF","WT_3m_TCF_F_1","Batch4",128
"WT_3m_TCF_F_2","WT.3m.TCF","WT_3m_TCF_F_2","Batch4",406
"WT_3m_TCF_F_3","WT.3m.TCF","WT_3m_TCF_F_3","Batch6",373
"WT_3m_TCF_M_1","WT.3m.TCF","WT_3m_TCF_M_1","Batch4",357
"WT_3m_TCF_M_2","WT.3m.TCF","WT_3m_TCF_M_2","Batch6",345
"WT_3m_TCF_M_3","WT.3m.TCF","WT_3m_TCF_M_3","Batch7",281
