"","Var1","Freq","cluster","group"
"1","Kbk.1m.Un",9.22259674050745,"1-MG","Kbk.1m.Un"
"2","Kbk.3m.DCF",10.5711742992672,"1-MG","Kbk.3m.DCF"
"3","Kbk.3m.DMSO_PEG",11.432038543057,"1-MG","Kbk.3m.DMSO_PEG"
"4","Kbk.3m.TCF",10.6437708811759,"1-MG","Kbk.3m.TCF"
"5","Kbk.3m.Un",10.4253078591822,"1-MG","Kbk.3m.Un"
"6","WT.1m.Un",7.72541133231456,"1-MG","WT.1m.Un"
"7","WT.3m.DCF",10.0397143402986,"1-MG","WT.3m.DCF"
"8","WT.3m.DMSO_PEG",9.78938480382305,"1-MG","WT.3m.DMSO_PEG"
"9","WT.3m.TCF",9.03249479324793,"1-MG","WT.3m.TCF"
"10","WT.3m.Un",11.1181064071262,"1-MG","WT.3m.Un"
"11","Kbk.1m.Un",10.1402185082741,"0-MG","Kbk.1m.Un"
"12","Kbk.3m.DCF",9.54387929847429,"0-MG","Kbk.3m.DCF"
"13","Kbk.3m.DMSO_PEG",9.38150985414453,"0-MG","Kbk.3m.DMSO_PEG"
"14","Kbk.3m.TCF",9.58021305838127,"0-MG","Kbk.3m.TCF"
"15","Kbk.3m.Un",9.19007296576879,"0-MG","Kbk.3m.Un"
"16","WT.1m.Un",10.9736819465455,"0-MG","WT.1m.Un"
"17","WT.3m.DCF",10.2572127252129,"0-MG","WT.3m.DCF"
"18","WT.3m.DMSO_PEG",10.3751366855035,"0-MG","WT.3m.DMSO_PEG"
"19","WT.3m.TCF",11.3689237243449,"0-MG","WT.3m.TCF"
"20","WT.3m.Un",9.18915123335028,"0-MG","WT.3m.Un"
"21","Kbk.1m.Un",10.0983538943111,"4-MG","Kbk.1m.Un"
"22","Kbk.3m.DCF",9.57188434965575,"4-MG","Kbk.3m.DCF"
"23","Kbk.3m.DMSO_PEG",12.1490331725969,"4-MG","Kbk.3m.DMSO_PEG"
"24","Kbk.3m.TCF",8.57451763470397,"4-MG","Kbk.3m.TCF"
"25","Kbk.3m.Un",8.84083411928489,"4-MG","Kbk.3m.Un"
"26","WT.1m.Un",17.8036335116546,"4-MG","WT.1m.Un"
"27","WT.3m.DCF",5.53932127754666,"4-MG","WT.3m.DCF"
"28","WT.3m.DMSO_PEG",8.01050325357506,"4-MG","WT.3m.DMSO_PEG"
"29","WT.3m.TCF",6.89023738502997,"4-MG","WT.3m.TCF"
"30","WT.3m.Un",12.521681401641,"4-MG","WT.3m.Un"
"31","Kbk.1m.Un",9.92672023160966,"2-MG","Kbk.1m.Un"
"32","Kbk.3m.DCF",15.3683578271514,"2-MG","Kbk.3m.DCF"
"33","Kbk.3m.DMSO_PEG",8.35978202544457,"2-MG","Kbk.3m.DMSO_PEG"
